ID,playerid,name,foot,moveGK,GKS,Ingso,Competetion,HeiGK,Dec,lpbg,la9,la6,rnoGroup,Solsbgopponent,positiondef,nmovGK,SRGK1,SRGK2,SRGK3,SRGK4,SRGK5,SRGK6,Choice,av_1,av_2,av_3,av_4,av_5,av_6,Shothardness,tappedtheball,ImportantnessGame,Importantnessgamegrouped,specialMatch,lastGKdive,CluborNationalTeam,competition,Minute,secondlastpenalty,secondlastGKdive,JColourPlayer,JColourGK,foot_cat,mvmtGK_cat,standposGK_cat,ingameshoot_cat,compleague_cat,decider_cat,lastpenaltygoal_cat,lastpenaldir_cat,roundnogroup_cat,heightGK_cat,posdef_cat,GKmvmttyp_cat,opplstpengoal_cat,shothardness_cat,tappedball_cat,gameimportance_cat,specialmatch_cat,lastGKdive_cat,clubornational_cat,compCup_cat,compECC_cat,compNational_cat,compQuali_cat,jerseygreyGK_cat,jerseyredGK_cat,jerseyblackGK_cat,jerseyblueGK_cat,jerseygreenGK_cat,jerseyyellowGK_cat,jerseyorangeGK_cat,jerseygoldPL_cat,jerseyblackPL_cat,jerseywhitePL_cat,jerseypinkPL_cat,jerseypurplePL_cat,jerseyredPL_cat,jerseygreenPL_cat,secondlastGKdivedir_cat,secondlastpen_cat,Great_GK,GK_already_saved_one
33,6,Agüero,R,no,central,Ingame,Cup,188,no,Goal,9,6,3,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,6,1,1,1,1,1,1,normal,no,2,important,no,Right,Club,Cup,9,Goal,Right,Green,Black,1,0,2,0,0,0,2,6,0,7,0,2,0,2,0,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,no,no
34,6,Agüero,R,no,central,Ingame,UCL,183,yes,Goal,6,6,Group,null,ST,still,0.060355247,0.10719697,0.030822931,0.157354424,0.226125994,0.172124825,6,1,1,1,1,1,1,normal,no,3,important,no,Left,Club,UCL,90,Goal,Right,Green,Grey,1,0,2,0,0,1,2,6,1,2,0,2,0,2,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,no,no
35,6,Agüero,R,no,central,Ingame,League,190,no,Goal,9,6,null,null,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,4,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,League,9,Goal,Left,Blue,Green,1,0,2,0,1,0,2,6,0,9,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,no,no
36,6,Agüero,R,no,central,Shootout,Cup,193,no,Goal,7,4,Final,Saved,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,no,4,normal,yes,Right,Club,Cup,null,Goal,Left,Blue,Black,1,0,2,1,0,0,2,4,0,12,0,2,2,2,0,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,no,no
37,6,Agüero,R,no,central,Ingame,League,193,no,Goal,9,6,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,League,73,Goal,Right,Blue,Black,1,0,2,0,1,0,2,6,0,12,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,no,no
38,6,Agüero,R,no,central,Ingame,League,193,no,Missed,9,6,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,League,19,Goal,Right,Blue,Green,1,0,2,0,1,0,1,6,0,12,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,no,no
39,6,Agüero,R,jumping on spot,central,Ingame,UCL,189,no,Goal,9,6,Quarter-Final,null,ST,moving,0.064234557,0.109469697,0.032804063,0.167468319,0.240660155,0.183188082,6,1,1,1,1,1,1,normal,no,4,normal,yes,Right,Club,UCL,30,Missed,Right,Blue,Green,1,2,2,0,0,0,2,6,0,8,0,1,0,2,0,1,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,no,no
40,6,Agüero,R,no,central,Ingame,League,199,no,Missed,9,6,null,null,ST,still,0.070700075,0.113257576,0.03610595,0.184324811,0.264883758,0.201626843,4,1,1,1,1,1,1,normal,no,3,normal,yes,Right,Club,League,80,Goal,Right,Green,Blue,1,0,2,0,1,0,1,6,0,16,0,2,0,2,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,no,no
41,6,Agüero,R,step right,central,Ingame,League,185,no,Goal,7,4,null,null,ST,moving,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,1,1,1,1,1,1,1,normal,no,3,normal,no,Right,Club,League,43,Missed,Right,Blue,Orange,1,3,2,0,1,0,2,4,0,4,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,no,no
42,6,Agüero,R,no,central,Ingame,League,188,no,Goal,4,1,null,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,4,1,1,1,1,1,1,normal,no,3,normal,no,Left,Club,League,4,Goal,Right,Blue,Black,1,0,2,0,1,0,2,1,0,7,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,no,no
