ID,playerid,name,foot,moveGK,GKS,Ingso,Competetion,HeiGK,Dec,lpbg,la9,la6,rnoGroup,Solsbgopponent,positiondef,nmovGK,SRGK1,SRGK2,SRGK3,SRGK4,SRGK5,SRGK6,Choice
86,15,Albiol,R,no,central,Shootout,EL,192,no,null,null,null,Final,Goal,DF,still,0.066174213,0.110606061,0.033794629,0.172525267,0.247927236,0.18871971,6
87,16,Alcácer,R,jumping on spot,central,Ingame,UCL,194,no,null,null,null,Group,null,ST,moving,0.067467316,0.111363636,0.034455007,0.175896565,0.252771956,0.192407463,2
88,16,Alcácer,R,no,central,Shootout,Cup,196,no,Missed,2,2,last sixteen,null,ST,still,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,6
89,16,Alcácer,R,jumping on spot,central,Ingame,League,189,no,Saved,9,6,null,null,ST,moving,0.064234557,0.109469697,0.032804063,0.167468319,0.240660155,0.183188082,2
90,16,Alcácer,R,jumping on spot,central,Shootout,EL,192,no,null,null,null,Final,Goal,ST,moving,0.066174213,0.110606061,0.033794629,0.172525267,0.247927236,0.18871971,4
91,17,Al-Faraj,L,no,central,Ingame,WM,188,no,null,null,null,Group,null,MF,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,4
92,18,Alioski,L,jumping left and right,central,Ingame,EM,196,no,null,null,null,Group,null,DF,moving,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,6
93,19,Al-Muwallad,R,no,central,Ingame,WM,188,no,null,null,null,Group,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,4
94,20,Alonso,R,no,central,Ingame,WM,187,no,null,null,null,Group,null,MF,still,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,4
95,21,Altintop,R,no,central,Shootout,EM,193,no,null,null,null,Quarter-Final,null,MF,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6
96,22,Ampomah,R,no,central,Shootout,Cup,190,yes,null,null,null,Quarter-Final,Goal,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,4
97,23,Amrabat,R,jumping on spot,central,Ingame,League,193,no,null,null,null,null,null,MF,moving,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,4
98,24,Andersson,R,no,central,Ingame,League,196,no,null,null,null,null,null,ST,still,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,2
99,24,Andersson,R,jumping on spot,central,Ingame,League,193,no,Goal,2,2,null,null,ST,moving,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,4
100,24,Andersson,R,no,central,Ingame,League,194,no,Saved,7,4,null,null,ST,still,0.067467316,0.111363636,0.034455007,0.175896565,0.252771956,0.192407463,4
101,25,Andrist,R,no,central,Shootout,Cup,192,no,null,null,null,Quarter-Final,Saved,MF,still,0.066174213,0.110606061,0.033794629,0.172525267,0.247927236,0.18871971,1
102,26,Ansarifard,R,no,central,Ingame,WM,190,no,null,null,null,Group,null,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,3
103,27,Appiah,R,no,central,Ingame,WM,188,no,null,null,null,Group,null,MF,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,1
104,27,Appiah,R,no,central,Shootout,WM,190,no,null,null,null,Quarter-Final,Goal,MF,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,1
105,28,Aránguiz,R,no,central,Shootout,WM,186,no,null,null,null,last sixteen,Goal,MF,still,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,3
106,29,Arokodare,R,jumping on spot,central,Shootout,Cup,195,no,null,null,null,last sixteen,Goal,ST,moving,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,6
107,30,Arslan,R,jumping on spot,central,Shootout,Cup,193,no,null,null,null,2,Goal,MF,moving,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,4
108,31,Aspas,L,step right,slightly right,Shootout,WM,186,yes,null,null,null,last sixteen,Goal,ST,moving,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,5
109,32,Ayala,R,jumping on spot,slightly right,Shootout,WM,190,no,null,null,null,Quarter-Final,Goal,MF,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,6
110,33,Ayhan,R,jumping on spot,central,Shootout,Cup,190,no,null,null,null,Quarter-Final,Saved,DF,moving,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,4
111,34,Azpilicueta,R,jumping on spot,central,Shootout,EL,189,no,null,null,null,Semi-Final,Goal,DF,moving,0.064234557,0.109469697,0.032804063,0.167468319,0.240660155,0.183188082,6
112,35,Bacca,R,no,central,Shootout,WM,185,no,null,null,null,last sixteen,Goal,ST,still,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,1
113,36,Badelj,R,no,central,Shootout,WM,189,no,null,null,null,last sixteen,Saved,MF,still,0.064234557,0.109469697,0.032804063,0.167468319,0.240660155,0.183188082,4
114,37,Bale,L,jumping on spot,central,Ingame,EM,191,no,null,null,null,Group,null,ST,moving,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,1
115,38,Ballack,R,no,central,Shootout,WM,186,no,null,null,null,Quarter-Final,Goal,MF,still,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,1
116,39,Balotelli,R,no,central,Ingame,League,193,no,null,null,null,null,null,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6
117,39,Balotelli,R,no,central,Shootout,EM,196,no,null,null,null,Quarter-Final,null,ST,still,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,4
118,40,Barkley,R,jumping on spot,central,Shootout,EL,189,no,null,null,null,Semi-Final,Goal,MF,moving,0.064234557,0.109469697,0.032804063,0.167468319,0.240660155,0.183188082,4
119,41,Barnetta,R,step left,slightly left,Shootout,WM,191,no,null,null,null,last sixteen,Goal,MF,moving,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,1
120,42,Barreto,R,no,central,Shootout,WM,185,no,null,null,null,last sixteen,null,MF,still,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,4
121,43,Barrios,R,no,central,Shootout,WM,185,no,null,null,null,last sixteen,Goal,ST,still,0.06164835,0.107954545,0.031483309,0.160725722,0.230970714,0.175812577,6
122,44,Bartels,R,no,central,Shootout,Cup,193,yes,null,null,null,2,Saved,MF,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,6
123,45,Barylla,R,no,central,Shootout,Cup,192,no,null,null,null,Quarter-Final,Goal,DF,still,0.066174213,0.110606061,0.033794629,0.172525267,0.247927236,0.18871971,4
124,46,Barzagli,R,jumping on spot,central,Shootout,EM,193,no,null,null,null,Quarter-Final,Saved,DF,moving,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,5
125,47,Bauer,R,jumping on spot,central,Shootout,Cup,187,no,null,null,null,2,Goal,DF,moving,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,1
126,48,Baumgartner,R,no,central,Shootout,Cup,195,no,null,null,null,1,Goal,MF,still,0.068113868,0.111742424,0.034785195,0.177582214,0.255194317,0.194251339,4
127,49,Bebou,R,no,central,Ingame,League,197,no,null,null,null,null,null,ST,still,0.069406971,0.1125,0.035445573,0.180953513,0.260039037,0.197939091,4
128,49,Bebou,R,null,0,Shootout,Cup,196,no,Goal,7,4,1,Goal,ST,null,0.068760419,0.112121212,0.035115384,0.179267863,0.257616677,0.196095215,6
129,50,Behrens,R,no,central,Ingame,League,190,no,null,null,null,null,null,MF,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,2
130,50,Behrens,R,jumping on spot,central,Ingame,League,187,no,Goal,2,2,null,null,MF,moving,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,6
